"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Centro+M%C3%A9dico+San+Luis/data=!4m7!3m6!1s0x95bcb564936afd73:0xcdb119132371af1e!8m2!3d-34.5778114!4d-58.4040435!16s%2Fg%2F11b6ntyv_t!19sChIJc_1qk2S1vJURHq9xIxMZsc0?authuser=0&hl=es-419&rclk=1","Centro Médico San Luis","4.0","(28)","Centro médico","·","·","San Martín de Tours 2980","","","011 5239-7600","https://www.swissmedical.com.ar/clinewsite/cma/barrio_parque.php","","Sitio web","","Indicaciones","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""estaba en consulta con nuestro gran","clínico","y persona el"
"https://www.google.com/maps/place/Consultorios+M%C3%A9dicos+Bot%C3%A1nico/data=!4m7!3m6!1s0x95bcb5803ba6edf3:0xd9864791cf9db320!8m2!3d-34.5863824!4d-58.418254!16s%2Fg%2F11ckkx6g30!19sChIJ8-2mO4C1vJURILOdz5FHhtk?authuser=0&hl=es-419&rclk=1","Consultorios Médicos Botánico","4.1","(12)","Clínica ambulatoria","·","C1425DBR, Av. Raúl Scalabrini Ortiz 2356","Cerrado","⋅ Abre a las 9 a.m.","·","011 4831-9842","","","Indicaciones","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""El","dr","Terrile Carlos (especialidad"
"https://www.google.com/maps/place/Centro+M%C3%A9dico+Uriburu/data=!4m7!3m6!1s0x95bcca982efed395:0x52c825917f78222f!8m2!3d-34.5915028!4d-58.3968169!16s%2Fg%2F1w0sf18m!19sChIJldP-LpjKvJURLyJ4f5ElyFI?authuser=0&hl=es-419&rclk=1","Centro Médico Uriburu","4.7","(6)","Centro médico","·","·","Abierto las 24 horas","","Pres. José Evaristo Uriburu 1471","011 5217-5955","","","Indicaciones","","","","·","","","",""
"https://www.google.com/maps/place/Casa+Medica/data=!4m7!3m6!1s0x95bcca995282df6d:0xea663e90a58e342c!8m2!3d-34.5877932!4d-58.3995141!16s%2Fg%2F11f57lmpql!19sChIJbd-CUpnKvJURLDSOpZA-Zuo?authuser=0&hl=es-419&rclk=1","Casa Medica","4.7","(21)","Médico","·","·","José Andrés Pacheco de Melo 2483","Cerrado","⋅ Abre a las 9 a.m.","011 4806-2358","http://www.casamedica.org/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buen trato, gran profesional y concisa.""","",""
"https://www.google.com/maps/place/MEDICAL+SERVICE+SEDE+PUEYRREDON/data=!4m7!3m6!1s0x95bccbe640efb2a1:0x19ddcef1541d929f!8m2!3d-34.5949461!4d-58.4027968!16s%2Fg%2F11fnchtcgs!19sChIJobLvQObLvJURn5IdVPHO3Rk?authuser=0&hl=es-419&rclk=1","MEDICAL SERVICE SEDE PUEYRREDON","4.2","(64)","Médico especializado en medicina laboral","·","·","Av. Pueyrredón 1364","Cerrado","⋅ Abre a las 8 a.m.","011 2150-5505","http://www.medicalservice.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente trato y cumple con los protocolos""","",""
"https://www.google.com/maps/place/Cl%C3%ADnica+del+Sol/data=!4m7!3m6!1s0x95bcca82f25717f3:0xfd421006c97049e3!8m2!3d-34.5865569!4d-58.4081108!16s%2Fg%2F1w4f992c!19sChIJ8xdX8oLKvJUR40lwyQYQQv0?authuser=0&hl=es-419&rclk=1","Clínica del Sol","3.0","(599)","Clínica ambulatoria","·","·","Av. Cnel. Díaz 2211","Abierto las 24 horas","","011 4827-7600","http://www.cdelsol.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buen trato, limpieza, personal sanitario buenísimo.""","",""
"https://www.google.com/maps/place/Swiss+Medical+Center+Barrio+Norte/data=!4m7!3m6!1s0x95bcca90976f5b47:0x2ecc3a32acd7da08!8m2!3d-34.5941066!4d-58.4020485!16s%2Fg%2F11bw2k4lhp!19sChIJR1tvl5DKvJURCNrXrDI6zC4?authuser=0&hl=es-419&rclk=1","Swiss Medical Center Barrio Norte","2.6","(683)","Centro médico","·","·","Av. Pueyrredón 1441","Abierto las 24 horas","","0810-333-8876","http://www.swissmedicalcenter.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Inclusive con estudios de laboratorio que estuvieron en 30 minutos.""","",""
"https://www.google.com/maps/place/MEDICAL+SERVICE+SEDE+LARREA/data=!4m7!3m6!1s0x95bccb049b63154b:0xdebe420715b7bcdb!8m2!3d-34.5980742!4d-58.4021242!16s%2Fg%2F11rcrgc67h!19sChIJSxVjmwTLvJUR27y3FQdCvt4?authuser=0&hl=es-419&rclk=1","MEDICAL SERVICE SEDE LARREA","4.3","(78)","Médico especializado en medicina laboral","·","·","Larrea 881","Cerrado","⋅ Abre a las 8 a.m.","011 2150-5505","http://www.medicalservice.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""La atención y el trato de los","médicos","es excelente."""
"https://www.google.com/maps/place/Dr.+Mauricio+Iafolla+Especialista+Cl%C3%ADnica+M%C3%A9dica/data=!4m7!3m6!1s0x95bccbdd2bc53ad5:0x47bbabed805e7224!8m2!3d-34.5998306!4d-58.3917426!16s%2Fg%2F11t3ybblyj!19sChIJ1TrFK93LvJURJHJegO2ru0c?authuser=0&hl=es-419&rclk=1","Dr. Mauricio Iafolla Especialista Clínica Médica","5.0","(10)","Médico","·","·","Rodriguez Peña 794, Av. Córdoba Esq 5A","Cerrado","⋅ Abre a las 11 a.m. del mar","011 7367-1744","http://drmauricioiafolla.com/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Muy buen trato profesional!!""","",""
"https://www.google.com/maps/place/CENTRO+MEDICO+AVILA/data=!4m7!3m6!1s0x95bcb533a01ce6b3:0x9653510dda9d4d!8m2!3d-34.5775861!4d-58.4225143!16s%2Fg%2F11h8cgk3w_!19sChIJs-YcoDO1vJURTZ3aDVFTlgA?authuser=0&hl=es-419&rclk=1","CENTRO MEDICO AVILA","4.3","(60)","Clínica ambulatoria","·","·","Cerrado","⋅ Abre a las 9 a.m.","Juncal 4480, Juncal 4484","7532-5130","","","Indicaciones","","","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fui por cita de ginecologo, recomiendo mucho a la Dra.Indira.""","",""
"https://www.google.com/maps/place/Centro+M%C3%A9dico+Bazterrica+Consultorios+Externos/data=!4m7!3m6!1s0x95bccac3b69de877:0x63d669d32edd7eea!8m2!3d-34.6066187!4d-58.3912621!16s%2Fg%2F1wtbw1s4!19sChIJd-idtsPKvJUR6n7dLtNp1mM?authuser=0&hl=es-419&rclk=1","Centro Médico Bazterrica Consultorios Externos","3.4","(654)","Clínica ambulatoria","·","·","Tte. Gral. Juan Domingo Perón 1739","Cerrado","⋅ Abre a las 8 a.m.","011 4375-0556","http://www.cmbazterrica.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... atencion del personal administrativo,de laboratorio y","medico",""""
"https://www.google.com/maps/place/Consultorio+Medico/data=!4m7!3m6!1s0x95bccaf281b7de1d:0x4bafb1b68c93f94c!8m2!3d-34.6067317!4d-58.4061987!16s%2Fg%2F11bbrh8v1l!19sChIJHd63gfLKvJURTPmTjLaxr0s?authuser=0&hl=es-419&rclk=1","Consultorio Medico","5.0","(1)","Oficina médica","·","Av. Pueyrredón 280","","","","011 4918-0613","","","Indicaciones","","","","","","","",""
"https://www.google.com/maps/place/Cirug%C3%ADa+Buenos+Aires/data=!4m7!3m6!1s0x95bcca914a0620a7:0xdecfe8b6db5dffa!8m2!3d-34.5958319!4d-58.4013696!16s%2Fg%2F1tdljgxq!19sChIJpyAGSpHKvJUR-t-1bYv-7A0?authuser=0&hl=es-419&rclk=1","Cirugía Buenos Aires","3.7","(18)","Médico","·","·","Larrea 1035 5 b","Cerrado","⋅ Abre a las 12 p.m.","011 5365-7083","http://www.cirugiabuenosaires.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Dr","Matias Lejarraga gran profesional desde lo tecnico y lo humano."""
"https://www.google.com/maps/place/Healthy+-+Tu+Centro+M%C3%A9dico+Cercano+-+Sede+Alto+Palermo/data=!4m7!3m6!1s0x95bcb57ff33b7c03:0x50df652aa5fc90da!8m2!3d-34.5883465!4d-58.4106883!16s%2Fg%2F1q62cs4lm!19sChIJA3w783-1vJUR2pD8pSpl31A?authuser=0&hl=es-419&rclk=1","Healthy - Tu Centro Médico Cercano - Sede Alto Palermo","4.0","(261)","Centro médico","·","·","Cerrado","⋅ Abre a las 8 a.m.","Alto Palermo Shopping, Primer Subsuelo, Av. Sta. Fe 3253","011 5353-2121","","","Indicaciones","","","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Muy buena atención en recepción y","médica","muy amable."""
"https://www.google.com/maps/place/Boston+Medical+Group/data=!4m7!3m6!1s0x95bcca912342ada5:0xc2029676b41071a8!8m2!3d-34.597303!4d-58.387491!16s%2Fg%2F11f3tv0rj8!19sChIJpa1CI5HKvJURqHEQtHaWAsI?authuser=0&hl=es-419&rclk=1","Boston Medical Group","2.9","(18)","Doctor","·","1430 Marcelo Torcuato de Alvear","Cerrado","⋅ Abre a las 9 a.m.","·","011 2040-0911","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjK6aKYhK-PAxWqZ0gAHfxsDlcYABABGgJjZQ&co=1&ase=2&gclid=Cj0KCQjw_L_FBhDmARIsAItqgt4MD-AGmY3_SLgBssClVEy8_J6lh_0GLeuRq6WS9AZ4Q4e2_wW7z9MaAqokEALw_wcB&ohost=www.google.com&cid=CAESuAHg9pUOcA7u8JQSrzh7wBJ8JYQv6C2hCqv1jTEN3FqRsSTPBj_20HtKEOGn9WovwBceh4d3USwzbrSLDKRj-KDuvCYPGfw4o0XTKOkLGZmWT0P2Z4nsj_9Bwdqn659wXwYlobS5yBpexQX0sZpUrTgsTi7ctRwM33__0rCtV8Pktx4NCu7pvFtOfpI9Ixmks--GDXuZD1wplzU7M9wIoojuA_eVgZVUAhx2iSaitISe32n-neIa4zUO&category=acrcp_v1_40&sig=AOD64_2ft3Df0Tfl5WQb5h8m8UQwMsOY2Q&adurl&q&ctype=99&nis=6","","Sitio web","","Indicaciones","","","","","",""
"https://www.google.com/maps/place/Domecq+y+Lafage/data=!4m7!3m6!1s0x95bccabc7920b9c9:0xf7c8caefdc6f6b82!8m2!3d-34.592523!4d-58.388828!16s%2Fg%2F1tcxkz33!19sChIJybkgebzKvJURgmtv3O_KyPc?authuser=0&hl=es-419&rclk=1","Domecq y Lafage","3.3","(65)","Laboratorio médico","·","1395 Paraná","Cerrado","⋅ Abre a las 7 a.m.","·","011 5273-3070","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjK6aKYhK-PAxWqZ0gAHfxsDlcYABAAGgJjZQ&co=1&ase=2&gclid=Cj0KCQjw_L_FBhDmARIsAItqgt5eCus5pVvJWi9XaWwzf8gWMrZCo5RZO7xqepBw_onem5hXZlAn7KsaAlRwEALw_wcB&ohost=www.google.com&cid=CAESuAHg9pUOcA7u8JQSrzh7wBJ8JYQv6C2hCqv1jTEN3FqRsSTPBj_20HtKEOGn9WovwBceh4d3USwzbrSLDKRj-KDuvCYPGfw4o0XTKOkLGZmWT0P2Z4nsj_9Bwdqn659wXwYlobS5yBpexQX0sZpUrTgsTi7ctRwM33__0rCtV8Pktx4NCu7pvFtOfpI9Ixmks--GDXuZD1wplzU7M9wIoojuA_eVgZVUAhx2iSaitISe32n-neIa4zUO&category=acrcp_v1_40&sig=AOD64_0XG4QqJBiMQFJCKxfDLshfCD8xiQ&adurl&q&ctype=99&nis=6","","Sitio web","","Indicaciones","","","","","",""
"https://www.google.com/maps/place/Consultorio+Medico/data=!4m7!3m6!1s0x95bcca9bcf404985:0x6b75636a329c0d87!8m2!3d-34.590217!4d-58.4014547!16s%2Fg%2F11bbrk78fj!19sChIJhUlAz5vKvJURhw2cMmpjdWs?authuser=0&hl=es-419&rclk=1","Consultorio Medico","4.0","(1)","Médico","·","Dr. Tomás Manuel de Anchorena 1780","","","","011 4823-5748","","","Indicaciones","","","","","","","",""
"https://www.google.com/maps/place/Centro+M%C3%A9dico+ALASBA/data=!4m7!3m6!1s0x95bccad22e4ae9ab:0x3fc0bfff86139f7!8m2!3d-34.5983236!4d-58.4145931!16s%2Fg%2F11rcgwz_d0!19sChIJq-lKLtLKvJUR9zlh-P8L_AM?authuser=0&hl=es-419&rclk=1","Centro Médico ALASBA","4.5","(790)","Centro médico","·","·","Billinghurst 979","Cerrado","⋅ Abre a las 9 a.m.","011 5979-7884","https://alasba.com/contact/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente atención, maravilloso el personal","médico",", 100% recomendable!"""
"https://www.google.com/maps/place/Cl%C3%ADnica+M%C3%A9dica+Doctor+Dos+Ramos+Farias+Eduardo/data=!4m7!3m6!1s0x95bcca9b0bed4e91:0x1122d03ffcb4189e!8m2!3d-34.5901378!4d-58.4033701!16s%2Fg%2F1tp30kq_!19sChIJkU7tC5vKvJURnhi0_D_QIhE?authuser=0&hl=es-419&rclk=1","Clínica Médica Doctor Dos Ramos Farias Eduardo","5.0","(2)","Nefrólogo","·","·","Cerrado","⋅ Abre a las 2 p.m. del mar","Juncal 2611","011 15-4417-6368","","","Indicaciones","","","","·","","","",""
"https://www.google.com/maps/place/Consultorio+M%C3%A9dico/data=!4m7!3m6!1s0x95bcb57f6c0eec85:0x4a3de37532748a70!8m2!3d-34.5841322!4d-58.416123!16s%2Fg%2F1hdzvkvvl!19sChIJhewObH-1vJURcIp0MnXjPUo?authuser=0&hl=es-419&rclk=1","Consultorio Médico","5.0","(4)","Médico","·","República Árabe Siria 2575","","","","011 4831-8137","","","Indicaciones","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Siempre está cuando lo necesitas.""","",""
"https://www.google.com/maps/place/Centro+Medico+Recoleta+%28CMR%29/data=!4m7!3m6!1s0x95bccb190b2b5a21:0xd1c46ae4abe96483!8m2!3d-34.59736!4d-58.3963033!16s%2Fg%2F11h6d7482l!19sChIJIVorCxnLvJURg2Tpq-RqxNE?authuser=0&hl=es-419&rclk=1","Centro Medico Recoleta (CMR)","4.3","(4)","Centro médico","·","·","Cerrado","⋅ Abre a las 10 a.m. del mar","Marcelo Torcuato de Alvear 2010 2 D","011 3975-4820","","","Indicaciones","","","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Siempre lo recomiendo""","",""
"https://www.google.com/maps/place/Consultorio+Medico+Coronel+Diaz+1552/data=!4m7!3m6!1s0x95bccb477c567471:0x2a5a697f966cfa16!8m2!3d-34.592628!4d-58.4133499!16s%2Fg%2F11pdvwrl1c!19sChIJcXRWfEfLvJURFvpsln9pWio?authuser=0&hl=es-419&rclk=1","Consultorio Medico Coronel Diaz 1552","1.9","(11)","Médico de medicina general","·","Av. Cnel. Díaz 1552 1 ""1","Cerrado","⋅ Abre a las 3 p.m.","·","011 4823-7089","","","Indicaciones","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hay que esperar que bajen a abrir""","",""
"https://www.google.com/maps/place/Centro+M%C3%A9dico+M%C3%A1s+Salud/data=!4m7!3m6!1s0x95bccbcc60664965:0xe3a17766b7ad3bfe!8m2!3d-34.5915363!4d-58.4151963!16s%2Fg%2F11lfbdx557!19sChIJZUlmYMzLvJUR_jutt2Z3oeM?authuser=0&hl=es-419&rclk=1","Centro Médico Más Salud","2.8","(6)","Médico","·","·","Paraguay 3607","","","011 3559-4304","http://linktr.ee/Centromasalud","","Sitio web","","Indicaciones","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Me quedo con la dra pero no con la gestión del centro.""","",""
"https://www.google.com/maps/place/Consultorios+M%C3%A9dicos+Cardimed/data=!4m7!3m6!1s0x95bccb9de1e681c7:0x54508e8faf4dd1df!8m2!3d-34.5984389!4d-58.4025726!16s%2Fg%2F11t0w5wxwz!19sChIJx4Hm4Z3LvJUR39FNr4-OUFQ?authuser=0&hl=es-419&rclk=1","Consultorios Médicos Cardimed","3.9","(122)","Centro médico","·","·","Larrea 848","Cerrado","⋅ Abre a las 9 a.m.","011 6364-6045","https://cardimedespmedicas.geblix.com/login","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""La","doctora","María Inés es demasiado buena y su atención incomparable."""
"https://www.google.com/maps/place/Centro+M%C3%A9dico+Trinidad+Barrio+Norte/data=!4m7!3m6!1s0x95bccabf9d277fdb:0xc38e26413f088958!8m2!3d-34.5998225!4d-58.3917891!16s%2Fg%2F11b6pjldv1!19sChIJ238nnb_KvJURWIkIP0EmjsM?authuser=0&hl=es-419&rclk=1","Centro Médico Trinidad Barrio Norte","2.8","(310)","Hospital privado","·","·","Av. Córdoba 1712","Cerrado","⋅ Abre a las 8 a.m.","0810-777-2583","https://www.galeno.com.ar/centro-medico/barrio-norte/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sala de espera y baños limpios y dispenser de agua a disposición.""","",""
"https://www.google.com/maps/place/Consultorio+Medico+Parano/data=!4m7!3m6!1s0x95bccac982b9ccbb:0xdf57d022daa478d4!8m2!3d-34.598749!4d-58.3780634!16s%2Fg%2F1tftmdd8!19sChIJu8y5gsnKvJUR1Hik2iLQV98?authuser=0&hl=es-419&rclk=1","Consultorio Medico Parano","4.8","(4)","Médico","·","Av. Córdoba 785","·","Cerrado","⋅ Abre a las 12 p.m.","011 4314-2603","http://www.grupocmc.com.ar/","","Sitio web","","Indicaciones","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Es un exelente oftalmologo y exelente profecional .Muchisimas gracias""","",""
"https://www.google.com/maps/place/Centro+Medico/data=!4m7!3m6!1s0x95bcca93f1e1e23d:0xcfd620410a17f2e5!8m2!3d-34.5980618!4d-58.4021118!16s%2Fg%2F11c75ywd06!19sChIJPeLh8ZPKvJUR5fIXCkEg1s8?authuser=0&hl=es-419&rclk=1","Centro Medico","1.0","(1)","Médico","·","C1115AAA, Azcuénaga 837","","","","","","","Indicaciones","","","","","","","",""
"https://www.google.com/maps/place/Consultorios+M%C3%A9dicos+Ecuador/data=!4m7!3m6!1s0x95bcca8ded6baf75:0xf28faea53c8c4182!8m2!3d-34.6009177!4d-58.406802!16s%2Fg%2F1hcb0mw8s!19sChIJda9r7Y3KvJURgkGMPKWuj_I?authuser=0&hl=es-419&rclk=1","Consultorios Médicos Ecuador","3.0","(4)","Centro médico","·","·","Cerrado","⋅ Abre a las 8:30 a.m.","Ecuador 788","011 4961-6494","","","Indicaciones","","","","·","","","",""
"https://www.google.com/maps/place/Consultorios+Medicos+Evans/data=!4m7!3m6!1s0x95bccabf2a440ae3:0xc3ac17d57cbc69da!8m2!3d-34.602598!4d-58.3871782!16s%2Fg%2F11fxb96jyc!19sChIJ4wpEKr_KvJUR2mm8fNUXrMM?authuser=0&hl=es-419&rclk=1","Consultorios Medicos Evans","3.5","(18)","Médico","·","Lavalle 1441 5° ""2","Cerrado","⋅ Abre a las 11 a.m.","·","011 4797-8733","","","Indicaciones","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jacobo es un profesional como pocos, super dedicado y muy contedor.""","",""
"https://www.google.com/maps/place/Medica+Clinica/data=!4m7!3m6!1s0x95bccb0060e2c1e5:0x9b46b40a2f6e9234!8m2!3d-34.602566!4d-58.4312759!16s%2Fg%2F11md38xrh8!19sChIJ5cHiYADLvJURNJJuLwq0Rps?authuser=0&hl=es-419&rclk=1","Medica Clinica","","","Asesor médico","·","Panamá 984","","","","","","","Indicaciones","","","","","","","",""
